,Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,PJ
41,Miguel Gutiérrez,es ESP,"DF,CC",22-231,,27,2401.0,26.7,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,2.2,2.2,5.4,7.6,65.0,118.0,134.0,0.04,0.15,0.19,0.04,0.19,0.08,0.2,0.28,0.08,0.28,Partidos,27.0
42,Sávio,br BRA,"CC,DL",19-339,,27,2263.0,25.1,8.0,7.0,15.0,8.0,0.0,0.0,4.0,0.0,4.4,4.4,5.3,9.7,131.0,62.0,280.0,0.32,0.28,0.6,0.32,0.6,0.18,0.21,0.39,0.18,0.39,Partidos,28.0
43,Iván Martín,es ESP,"CC,DL",25-029,,24,1955.0,21.7,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,2.5,2.5,1.6,4.0,57.0,99.0,72.0,0.18,0.09,0.28,0.18,0.28,0.11,0.07,0.19,0.11,0.19,Partidos,27.0
44,Daley Blind,nl NED,DF,34-005,,23,2072.0,23.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,0.7,2.2,32.0,153.0,15.0,0.04,0.09,0.13,0.04,0.13,0.06,0.03,0.1,0.06,0.1,Partidos,24.0
45,Artem Dovbyk,ua UKR,DL,26-267,,22,1734.0,19.3,14.0,5.0,19.0,11.0,3.0,3.0,1.0,0.0,11.8,9.4,3.7,13.2,8.0,17.0,78.0,0.73,0.26,0.99,0.57,0.83,0.61,0.19,0.81,0.49,0.68,Partidos,26.0
46,Eric García,es ESP,DF,23-065,,20,1760.0,19.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,0.4,2.5,33.0,146.0,8.0,0.1,0.0,0.1,0.1,0.1,0.11,0.02,0.13,0.11,0.13,Partidos,20.0
47,Viktor Tsyhankov,ua UKR,"CC,DL",26-120,,20,1610.0,17.9,6.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,4.7,4.7,4.8,9.5,53.0,59.0,151.0,0.34,0.22,0.56,0.34,0.56,0.26,0.27,0.53,0.26,0.53,Partidos,23.0
48,Yan Couto,br BRA,"DF,CC",21-285,,19,1722.0,19.1,1.0,7.0,8.0,1.0,0.0,0.0,6.0,0.0,1.4,1.4,3.1,4.5,122.0,78.0,185.0,0.05,0.37,0.42,0.05,0.42,0.07,0.16,0.24,0.07,0.24,Partidos,26.0
49,Yangel Herrera,ve VEN,CC,26-060,,19,1513.0,16.8,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,3.7,3.7,1.3,5.1,19.0,70.0,54.0,0.24,0.0,0.24,0.24,0.24,0.22,0.08,0.3,0.22,0.3,Partidos,20.0
50,David López,es ESP,"DF,CC",34-157,,17,1347.0,15.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,0.2,1.5,12.0,37.0,1.0,0.13,0.0,0.13,0.13,0.13,0.09,0.01,0.1,0.09,0.1,Partidos,17.0
51,Arnau Martinez,es ESP,DF,20-324,,12,992.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.3,1.5,23.0,49.0,12.0,0.0,0.18,0.18,0.0,0.18,0.02,0.12,0.14,0.02,0.14,Partidos,15.0
52,Portu,es ESP,"CC,DL",31-298,,7,797.0,8.9,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,1.9,1.9,1.4,3.3,18.0,17.0,62.0,0.45,0.34,0.79,0.45,0.79,0.21,0.16,0.37,0.21,0.37,Partidos,23.0
