,Jugador,País,Posc,Edad,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
538,Total del equipo,,,29.2,28.0,7407.0,10560.0,70.1,144110.0,62691.0,3197.0,3803.0,84.1,2896.0,3668.0,79.0,1099.0,2411.0,45.6,13,16.4,18.4,-3.4,193.0,631.0,146.0,81.0,699.0,
539,Total del oponente,,,28.1,28.0,11388.0,14486.0,78.6,194388.0,74635.0,5619.0,6398.0,87.8,4397.0,5285.0,83.2,1072.0,2026.0,52.9,26,29.3,28.8,-3.3,270.0,1025.0,236.0,65.0,1274.0,
540,Carlos Neva,es ESP,DF,27-276,25.0,936.0,1212.0,77.2,15273.0,5951.0,512.0,560.0,91.4,350.0,435.0,80.5,67.0,148.0,45.3,2,2.5,0.9,-0.5,16.0,43.0,20.0,13.0,72.0,Partidos
541,Ignasi Miquel,es ESP,DF,31-168,25.2,1022.0,1227.0,83.3,20098.0,7316.0,322.0,363.0,88.7,582.0,637.0,91.4,112.0,209.0,53.6,1,1.0,0.5,0.0,8.0,56.0,4.0,0.0,64.0,Partidos
542,Myrto Uzuni,al ALB,"DL,CC",28-288,22.4,196.0,255.0,76.9,2921.0,416.0,116.0,136.0,85.3,64.0,80.0,80.0,12.0,20.0,60.0,1,2.5,2.5,-1.5,17.0,7.0,7.0,2.0,14.0,Partidos
543,Ricard Sánchez,es ESP,DF,24-021,21.9,723.0,961.0,75.2,11960.0,4706.0,396.0,455.0,87.0,244.0,317.0,77.0,64.0,123.0,52.0,0,1.8,2.6,-1.8,19.0,51.0,24.0,15.0,68.0,Partidos
544,Gerard Gumbau,es ESP,CC,29-087,19.9,746.0,1021.0,73.1,14941.0,5131.0,313.0,361.0,86.7,288.0,346.0,83.2,133.0,256.0,52.0,3,3.0,2.9,0.0,30.0,92.0,14.0,3.0,100.0,Partidos
545,Sergio Ruiz,es ESP,CC,29-089,19.2,802.0,940.0,85.3,13331.0,3884.0,379.0,414.0,91.5,345.0,383.0,90.1,60.0,95.0,63.2,2,0.8,0.9,1.2,7.0,46.0,14.0,2.0,80.0,Partidos
546,Lucas Boyé,ar ARG,DL,28-015,17.6,268.0,365.0,73.4,3830.0,912.0,164.0,202.0,81.2,71.0,97.0,73.2,18.0,24.0,75.0,3,2.2,1.2,0.8,21.0,30.0,6.0,2.0,41.0,Partidos
547,Bryan Zaragoza,es ESP,"CC,DL",22-324,18.2,248.0,444.0,55.9,3909.0,1446.0,138.0,176.0,78.4,75.0,142.0,52.8,22.0,73.0,30.1,2,3.3,4.2,-1.3,22.0,12.0,29.0,16.0,36.0,Partidos
