,Jugador,País,Posc,Edad,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
44,Valery Fernández,es ESP,"CC,DF",24-112,5.0,246.0,9.0,50.0,100.0,99.0,21.0,246.0,18.0,6.0,33.3,6.0,33.3,162.0,1155.0,521.0,18.0,9.0,7.0,14.0,6.0,175.0,44.0,Partidos
45,Jhon Solis,co COL,CC,19-163,2.8,197.0,9.0,38.0,118.0,44.0,5.0,197.0,7.0,4.0,57.1,3.0,42.9,111.0,772.0,367.0,6.0,6.0,0.0,4.0,9.0,130.0,11.0,Partidos
46,Antal Yaakobishvili,hu HUN,DF,19-246,0.7,50.0,8.0,31.0,18.0,1.0,1.0,50.0,0.0,0.0,,0.0,,26.0,148.0,54.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,Partidos
47,Ibrahima Kebe,ml MLI,CC,23-225,0.1,13.0,0.0,6.0,6.0,2.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,6.0,38.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,Partidos
48,Bernardo Espinosa,co COL,DF,34-247,0.0,11.0,4.0,8.0,3.0,0.0,0.0,11.0,0.0,0.0,,0.0,,5.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Partidos
49,Silvi Clúa,es ESP,CC,19-045,0.0,10.0,0.0,4.0,6.0,0.0,0.0,10.0,0.0,0.0,,0.0,,3.0,10.0,8.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,Partidos
50,Jastin García,es ESP,CC,20-059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
51,Total del equipo,,,26.7,28.0,18862.0,2029.0,6195.0,8449.0,4368.0,700.0,18859.0,545.0,253.0,46.4,217.0,39.8,11885.0,67637.0,34987.0,655.0,459.0,166.0,430.0,272.0,13479.0,1192.0,
52,Total del oponente,,,28.0,28.0,14975.0,1700.0,4775.0,6381.0,4004.0,626.0,14972.0,429.0,189.0,44.1,196.0,45.7,8568.0,45320.0,22590.0,460.0,369.0,112.0,370.0,214.0,9633.0,928.0,
53,İlkay Gündoğan,de GER,CC,33-142,25.3,2027.0,37.0,278.0,1104.0,663.0,63.0,2025.0,47.0,25.0,53.2,14.0,29.8,1197.0,6868.0,3502.0,62.0,72.0,8.0,31.0,18.0,1537.0,96.0,Partidos
54,Robert Lewandowski,pl POL,DL,35-206,23.0,676.0,22.0,41.0,256.0,388.0,129.0,673.0,40.0,16.0,40.0,23.0,57.5,408.0,1935.0,746.0,31.0,22.0,12.0,71.0,22.0,558.0,133.0,Partidos
55,Jules Koundé,fr FRA,DF,25-123,22.9,2142.0,129.0,676.0,1170.0,314.0,30.0,2142.0,22.0,10.0,45.5,8.0,36.4,1334.0,6788.0,4414.0,44.0,49.0,2.0,19.0,8.0,1517.0,37.0,Partidos
56,João Cancelo,pt POR,DF,29-292,20.8,1685.0,68.0,361.0,859.0,487.0,51.0,1685.0,88.0,52.0,59.1,26.0,29.5,944.0,5790.0,3180.0,87.0,51.0,25.0,44.0,17.0,1114.0,128.0,Partidos
57,Andreas Christensen,dk DEN,"DF,CC",27-339,17.5,1417.0,90.0,475.0,881.0,66.0,13.0,1417.0,5.0,3.0,60.0,2.0,40.0,929.0,4326.0,2584.0,19.0,13.0,0.0,4.0,7.0,1099.0,4.0,Partidos
58,Frenkie de Jong,nl NED,CC,26-307,17.7,1817.0,66.0,350.0,1130.0,350.0,18.0,1817.0,24.0,13.0,54.2,8.0,33.3,1189.0,7217.0,4330.0,69.0,52.0,3.0,14.0,16.0,1447.0,38.0,Partidos
