,player,GP,minutes,goals per 90,assists per 90,xG,shots per 90,shots target 90,completed pass,short completed pass,med completed pass,long completed pass,xA,tackle wit ball rec,% duel won,interceptions per 90,loose balls recovered 90,% aerials duels won
191,Manu Morlanes,25.0,1143,0.0,0.08,0.8,0.79,0.24,81.7,86.9,88.0,70.5,1.6,1.57,43.2,0.87,7.09,55.2
192,Omar Mascarell,19.0,1051,0.0,0.0,0.2,0.34,0.0,81.2,85.8,87.9,66.3,0.2,1.11,50.0,1.97,5.73,57.8
196,Isaac Palazón Camacho,,2088,0.13,0.04,4.5,2.16,1.03,67.8,83.0,71.8,40.4,1.7,0.78,35.0,0.65,4.74,32.9
197,Óscar Valentín,,2069,0.04,0.0,1.3,0.52,0.26,80.2,87.1,83.9,60.4,0.6,1.96,47.9,1.09,5.48,40.6
198,Álvaro García,,1968,0.27,0.05,4.2,1.46,0.59,61.7,80.1,62.6,26.4,2.5,0.87,20.7,1.28,3.74,36.4
199,Unai López,,1523,0.06,0.12,0.9,1.24,0.24,82.3,94.0,87.1,55.2,2.0,0.95,39.5,0.53,7.69,42.1
200,Óscar Trejo,,1006,0.0,0.0,0.7,1.07,0.18,81.9,89.5,82.7,55.6,1.0,1.07,64.7,0.36,5.8,40.9
201,Pathé Ciss,,1202,0.07,0.0,1.4,1.35,0.45,81.8,84.3,88.8,70.4,0.5,0.97,61.9,1.72,7.09,55.7
202,Kike Pérez,,819,0.11,0.0,1.9,1.43,0.55,75.7,90.6,73.6,57.1,0.7,1.21,50.0,0.88,5.93,28.6
203,Jorge de Frutos,,875,0.1,0.0,1.8,1.54,0.62,71.6,80.6,76.4,54.2,0.6,0.1,11.1,0.41,4.95,30.0
211,Óscar Mingueza,,2143,0.08,0.08,2.2,0.97,0.46,71.3,86.6,71.8,43.9,4.4,1.09,44.3,0.59,4.96,46.4
212,Luca de la Torre,,1813,0.05,0.2,1.9,1.04,0.35,80.4,89.7,85.6,50.0,1.4,0.95,51.3,0.55,5.22,24.5
213,Fran Beltrán,,1615,0.0,0.0,0.4,0.61,0.06,83.7,88.9,86.9,59.7,1.1,1.17,39.1,0.84,6.48,26.7
214,Jonathan Bamba,,1555,0.12,0.06,2.6,2.03,0.69,76.2,87.7,72.8,51.7,2.7,0.46,7.1,0.69,4.8,24.0
215,Renato Tapia,,1221,0.0,0.0,0.8,1.33,0.07,74.9,87.6,81.1,52.9,0.6,1.84,50.0,1.25,7.5,54.9
216,Mihailo Ristić,,763,0.0,0.0,0.3,1.06,0.47,71.1,87.1,79.2,28.8,0.5,1.06,75.0,1.06,7.41,56.3
227,Rubén Alcaraz,26.0,2234,0.08,0.0,2.0,1.29,0.24,79.1,91.0,87.3,55.3,0.9,1.53,37.0,1.05,6.45,50.0
228,Chris Ramos,28.0,1979,0.23,0.05,5.8,2.36,0.77,56.6,64.6,53.8,46.2,1.1,0.55,22.7,0.36,2.27,50.4
229,Iván Alejo,25.0,1563,0.0,0.12,0.5,0.58,0.12,50.7,70.7,46.9,40.2,2.5,0.98,30.2,0.23,4.48,50.0
230,Roberto Navarro,18.0,1098,0.0,0.08,1.2,1.23,0.25,66.1,86.1,60.0,33.3,1.4,1.64,44.4,0.9,6.23,39.1
231,Gonzalo Escalante,19.0,1229,0.0,0.15,0.7,0.59,0.07,73.8,82.3,77.6,53.7,1.1,1.31,41.0,1.39,5.18,51.1
232,Rubén Sobrino,23.0,1103,0.0,0.08,0.9,0.98,0.16,71.7,86.1,66.7,60.9,1.4,1.71,45.7,0.89,7.07,56.3
233,Darwin Machís,18.0,750,0.48,0.0,1.4,2.28,1.08,61.4,83.7,64.5,36.8,1.0,1.57,52.2,0.36,6.14,25.0
234,Álex Fernández,20.0,902,0.0,0.0,0.3,0.6,0.1,82.4,91.7,86.4,60.4,1.0,0.3,50.0,1.1,6.1,50.0
245,Myrto Uzuni,,2017,0.4,0.04,9.9,2.01,0.8,76.9,85.3,80.0,60.0,2.5,0.49,20.0,0.13,2.28,16.4
246,Gerard Gumbau,,1789,0.0,0.15,1.0,1.36,0.35,73.1,86.7,83.2,52.0,2.9,0.95,29.4,0.75,4.12,44.8
247,Sergio Ruiz,,1725,0.0,0.1,0.5,0.47,0.05,85.3,91.5,90.1,63.2,0.9,1.72,43.4,0.94,6.51,55.8
