,Jugador,País,Posc,Edad,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
126,Yeray Álvarez,es ESP,DF,29-047,7.2,9.0,7,7.0,2.0,0.0,5.0,7.0,71.4,2.0,6.0,4.0,2.0,9,18.0,20.0,0.0,Partidos
127,Dani García,es ESP,CC,33-292,5.8,10.0,5,1.0,5.0,4.0,8.0,18.0,44.4,10.0,7.0,1.0,6.0,6,16.0,6.0,0.0,Partidos
128,Unai Gómez,es ESP,CC,20-291,5.6,10.0,9,1.0,5.0,4.0,4.0,7.0,57.1,3.0,8.0,1.0,7.0,1,11.0,6.0,0.0,Partidos
129,Imanol,es ESP,DF,23-277,4.4,5.0,4,0.0,4.0,1.0,3.0,12.0,25.0,9.0,6.0,0.0,6.0,6,11.0,8.0,0.0,Partidos
130,Iker Muniain,es ESP,"CC,DL",31-083,4.4,4.0,0,1.0,3.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,3.0,0,4.0,0.0,0.0,Partidos
131,Asier Villalibre,es ESP,DL,26-163,3.8,2.0,1,0.0,0.0,2.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0,2.0,4.0,0.0,Partidos
132,Adu Ares,es ESP,"DL,CC",22-151,1.7,7.0,4,3.0,2.0,2.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,1,8.0,0.0,0.0,Partidos
133,Raúl García,es ESP,"DL,CC",37-244,2.2,3.0,3,1.0,2.0,0.0,2.0,5.0,40.0,3.0,4.0,0.0,4.0,2,5.0,5.0,0.0,Partidos
134,Mikel Jauregizar,es ESP,CC,20-120,0.7,,0,,,,,,,,,,,0,,,,Partidos
135,Peru Nolaskoain,es ESP,"DF,CC",25-138,0.1,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Partidos
136,Total del equipo,,,28.0,28.0,445.0,280,166.0,208.0,71.0,236.0,492.0,48.0,256.0,306.0,69.0,237.0,206,651.0,473.0,1.0,
137,Total del oponente,,,27.5,28.0,522.0,307,265.0,217.0,40.0,245.0,492.0,49.8,247.0,300.0,85.0,215.0,277,799.0,629.0,21.0,
138,Álex Remiro,es ESP,PO,28-353,26.4,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,17.0,2.0,Partidos
139,Martín Zubimendi,es ESP,CC,25-038,25.7,42.0,23,14.0,26.0,2.0,19.0,34.0,55.9,15.0,28.0,7.0,21.0,33,75.0,50.0,0.0,Partidos
140,Igor Zubeldia,es ESP,DF,26-347,24.0,28.0,21,20.0,7.0,1.0,17.0,23.0,73.9,6.0,24.0,16.0,8.0,29,57.0,90.0,3.0,Partidos
141,Brais Méndez,es ESP,"CC,DL",27-064,22.0,35.0,23,11.0,16.0,8.0,12.0,38.0,31.6,26.0,18.0,3.0,15.0,8,43.0,14.0,0.0,Partidos
142,Robin Le Normand,es ESP,DF,27-121,20.5,25.0,19,15.0,10.0,0.0,14.0,24.0,58.3,10.0,22.0,13.0,9.0,24,49.0,74.0,1.0,Partidos
143,Hamari Traoré,ml MLI,DF,32-044,19.1,34.0,17,19.0,13.0,2.0,19.0,34.0,55.9,15.0,18.0,4.0,14.0,18,52.0,43.0,1.0,Partidos
144,Takefusa Kubo,jp JPN,"DL,CC",22-281,18.7,18.0,14,10.0,5.0,3.0,6.0,16.0,37.5,10.0,19.0,2.0,17.0,9,27.0,6.0,1.0,Partidos
145,Mikel Merino,es ESP,CC,27-263,18.6,42.0,24,17.0,17.0,8.0,16.0,32.0,50.0,16.0,27.0,9.0,18.0,9,51.0,39.0,3.0,Partidos
146,Mikel Oyarzabal,es ESP,"DL,CC",26-325,16.1,18.0,14,6.0,8.0,4.0,6.0,18.0,33.3,12.0,18.0,3.0,15.0,4,22.0,10.0,0.0,Partidos
147,Ander Barrenetxea,es ESP,"DL,CC",22-075,11.0,22.0,12,3.0,13.0,6.0,7.0,21.0,33.3,14.0,9.0,1.0,8.0,5,27.0,3.0,0.0,Partidos
