,Jugador,País,Posc,Edad,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
395,Total del oponente,,,27.9,28.0,40,355,121,34.1,12.68,4.32,0.1,0.3,17.4,14.0,4,4,41.2,38.1,0.11,-1.2,-2.1,
396,Predrag Rajković,rs SRB,PO,28-135,28.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
397,Dani Rodríguez,es ESP,CC,35-282,22.1,2,24,4,16.7,1.09,0.18,0.08,0.5,20.3,0.0,0,0,1.2,1.2,0.05,0.8,0.8,Partidos
398,Martin Valjent,sk SVK,DF,28-094,20.5,0,5,0,0.0,0.24,0.0,0.0,,20.2,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Partidos
399,Samu Costa,pt POR,CC,23-108,20.9,1,19,3,15.8,0.91,0.14,0.05,0.33,20.0,1.0,0,0,1.0,1.0,0.05,0.0,0.0,Partidos
400,Giovanni González,uy URU,DF,29-176,20.3,0,9,2,22.2,0.44,0.1,0.0,0.0,24.7,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Partidos
401,Matija Nastasić,rs SRB,DF,30-352,19.1,2,6,2,33.3,0.31,0.1,0.33,1.0,8.1,0.0,0,0,0.9,0.9,0.15,1.1,1.1,Partidos
402,Vedat Muriqi,xk KVX,DL,29-325,17.7,5,39,15,38.5,2.2,0.85,0.1,0.27,14.1,0.0,1,3,6.8,4.4,0.11,-1.8,-0.4,Partidos
403,Antonio Sánchez,es ESP,CC,27-073,12.7,3,21,9,42.9,1.65,0.71,0.14,0.33,19.6,0.0,0,0,2.5,2.5,0.12,0.5,0.5,Partidos
404,Sergi Darder,es ESP,CC,30-083,18.1,0,19,5,26.3,1.05,0.28,0.0,0.0,21.7,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1,Partidos
405,Antonio Raillo,es ESP,DF,32-158,15.4,2,19,4,21.1,1.23,0.26,0.11,0.5,18.1,0.0,0,0,1.0,1.0,0.05,1.0,1.0,Partidos
406,Cyle Larin,ca CAN,DL,28-332,15.5,2,57,21,36.8,3.67,1.35,0.04,0.1,12.5,0.0,0,0,7.3,7.3,0.13,-5.3,-5.3,Partidos
407,Jaume Costa,es ESP,DF,35-362,13.9,0,4,1,25.0,0.29,0.07,0.0,0.0,17.7,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Partidos
408,Pablo Maffeo,es ESP,DF,26-246,12.5,0,9,3,33.3,0.72,0.24,0.0,0.0,25.6,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6,Partidos
409,Toni Lato,es ESP,DF,26-114,12.9,0,4,0,0.0,0.31,0.0,0.0,,18.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
410,Manu Morlanes,es ESP,CC,25-062,12.7,0,10,3,30.0,0.79,0.24,0.0,0.0,16.2,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,Partidos
411,Omar Mascarell,es ESP,CC,31-041,11.7,0,4,0,0.0,0.34,0.0,0.0,,20.8,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Partidos
412,Copete,es ESP,DF,24-156,10.4,1,5,1,20.0,0.48,0.1,0.2,1.0,14.5,0.0,0,0,0.4,0.4,0.08,0.6,0.6,Partidos
413,Abdón Prats,es ESP,DL,31-098,10.4,5,22,8,36.4,2.11,0.77,0.23,0.63,15.2,2.0,0,0,2.5,2.5,0.11,2.5,2.5,Partidos
414,Siebe Van Der Heyden,be BEL,DF,25-289,3.2,0,2,0,0.0,0.63,0.0,0.0,,9.8,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Partidos
415,Amath,sn SEN,"DL,CC",27-242,4.4,0,12,2,16.7,2.74,0.46,0.0,0.0,14.1,0.0,0,0,1.6,1.6,0.13,-1.6,-1.6,Partidos
416,Nacho Vidal,es ESP,DF,29-050,1.9,0,1,1,100.0,0.52,0.52,0.0,0.0,10.8,0.0,0,0,0.1,0.1,0.11,-0.1,-0.1,Partidos
417,Nemanja Radonjić,rs SRB,CC,28-028,0.9,0,4,3,75.0,4.5,3.38,0.0,0.0,18.9,0.0,0,0,1.1,1.1,0.29,-1.1,-1.1,Partidos
418,Javier Llabrés,es ESP,"CC,DL",21-185,1.9,1,6,2,33.3,3.12,1.04,0.17,0.5,16.2,0.0,0,0,0.6,0.6,0.1,0.4,0.4,Partidos
419,Total del equipo,,,29.2,28.0,24,301,89,29.6,10.75,3.18,0.08,0.26,16.8,3.0,1,3,29.9,27.7,0.09,-5.9,-4.7,
420,Total del oponente,,,27.6,28.0,35,366,104,28.4,13.07,3.71,0.08,0.3,19.3,24.0,4,5,35.3,31.3,0.09,-0.3,-0.3,
421,Stole Dimitrievski,mk MKD,PO,30-080,28.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
422,Florian Lejeune,fr FRA,DF,32-299,28.0,1,43,12,27.9,1.54,0.43,0.02,0.08,26.8,18.0,0,0,2.0,2.0,0.05,-1.0,-1.0,Partidos
423,Alfonso Espino,uy URU,DF,32-069,24.1,0,14,4,28.6,0.58,0.17,0.0,0.0,21.0,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9,Partidos
424,Isaac Palazón Camacho,es ESP,"CC,DL",29-078,23.2,3,50,24,48.0,2.16,1.03,0.02,0.04,23.1,3.0,2,2,4.5,3.0,0.06,-1.5,-2.0,Partidos
425,Iván Balliu,al ALB,DF,32-073,24.0,0,9,4,44.4,0.37,0.17,0.0,0.0,16.7,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,Partidos
426,Óscar Valentín,es ESP,CC,29-207,23.0,1,12,6,50.0,0.52,0.26,0.08,0.17,10.9,0.0,0,0,1.3,1.3,0.11,-0.3,-0.3,Partidos
427,Álvaro García,es ESP,"DL,CC",31-139,21.9,6,32,13,40.6,1.46,0.59,0.19,0.46,16.8,0.0,0,0,4.2,4.2,0.13,1.8,1.8,Partidos
428,Unai López,es ESP,CC,28-136,16.9,1,21,4,19.0,1.24,0.24,0.05,0.25,26.7,3.0,0,0,0.9,0.9,0.04,0.1,0.1,Partidos
429,Aridane Hernández,es ESP,DF,34-357,17.8,0,4,0,0.0,0.23,0.0,0.0,,17.5,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Partidos
430,Raúl de Tomás,es ESP,DL,29-149,12.6,1,31,9,29.0,2.46,0.71,0.0,0.0,19.0,2.0,1,1,2.8,2.1,0.07,-1.8,-2.1,Partidos
431,Sergio Camello,es ESP,DL,23-033,12.5,2,20,8,40.0,1.59,0.64,0.1,0.25,17.0,0.0,0,0,3.0,3.0,0.15,-1.0,-1.0,Partidos
432,Óscar Trejo,ar ARG,"DL,CC",35-323,11.2,0,12,2,16.7,1.07,0.18,0.0,0.0,19.2,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,Partidos
433,Pathé Ciss,sn SEN,CC,29-364,13.4,1,18,6,33.3,1.35,0.45,0.06,0.17,21.8,0.0,0,0,1.4,1.4,0.08,-0.4,-0.4,Partidos
434,Abdul Mumin,gh GHA,DF,25-282,9.8,1,2,1,50.0,0.2,0.1,0.5,1.0,9.3,0.0,0,0,0.3,0.3,0.14,0.7,0.7,Partidos
435,Kike Pérez,es ESP,"CC,DL",27-029,9.1,1,13,5,38.5,1.43,0.55,0.08,0.2,18.7,1.0,0,0,1.9,1.9,0.14,-0.9,-0.9,Partidos
436,Jorge de Frutos,es ESP,"CC,DL",27-023,9.7,1,15,6,40.0,1.54,0.62,0.07,0.17,17.8,0.0,0,0,1.8,1.8,0.12,-0.8,-0.8,Partidos
437,Pep Chavarría,es ESP,"DF,CC",25-339,6.4,0,7,0,0.0,1.1,0.0,0.0,,18.1,0.0,0,0,0.7,0.7,0.1,-0.7,-0.7,Partidos
438,Andrei Ratiu,ro ROU,DF,25-268,3.6,0,3,1,33.3,0.83,0.28,0.0,0.0,17.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
439,Randy Ntekja,fr FRA,"DL,CC",26-099,5.2,1,9,3,33.3,1.73,0.58,0.0,0.0,18.9,0.0,1,1,1.6,0.8,0.09,-0.6,-0.8,Partidos
440,Crespo,pt POR,CC,27-185,2.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
441,Radamel Falcao,co COL,"DL,DF",38-033,2.6,1,8,3,37.5,3.06,1.15,0.0,0.0,13.9,0.0,1,1,2.1,1.3,0.17,-1.1,-1.3,Partidos
442,Bebé,cv CPV,"CC,DL",33-246,1.6,2,10,3,30.0,6.21,1.86,0.1,0.33,31.2,1.0,1,1,1.3,0.5,0.05,0.7,0.5,Partidos
443,Salvi,es ESP,CC,32-350,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Partidos
