,Jugador,País,Posc,Edad,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
538,Total del equipo,,,29.2,28.0,83,6,0,440,381,69,578,217,281,1.0,2.0,0,1366.0,486.0,520.0,48.3,
539,Total del oponente,,,28.1,28.0,73,4,2,398,420,49,601,182,258,1.0,2.0,0,1393.0,518.0,485.0,51.6,
540,Carlos Neva,es ESP,DF,27-276,25.0,3,0,0,13,32,0,56,14,16,0.0,0.0,0,108.0,19.0,21.0,47.5,Partidos
541,Ignasi Miquel,es ESP,DF,31-168,25.2,5,0,0,23,23,0,2,33,22,0.0,0.0,0,112.0,43.0,33.0,56.6,Partidos
542,Myrto Uzuni,al ALB,"DL,CC",28-288,22.4,2,0,0,23,14,15,11,3,11,0.0,0.0,0,51.0,10.0,51.0,16.4,Partidos
543,Ricard Sánchez,es ESP,DF,24-021,21.9,6,0,0,22,19,4,71,12,16,0.0,0.0,0,90.0,18.0,14.0,56.3,Partidos
544,Gerard Gumbau,es ESP,CC,29-087,19.9,10,0,0,38,21,0,93,15,19,0.0,0.0,0,82.0,13.0,16.0,44.8,Partidos
545,Sergio Ruiz,es ESP,CC,29-089,19.2,5,0,0,29,51,0,7,18,33,0.0,0.0,0,125.0,29.0,23.0,55.8,Partidos
546,Lucas Boyé,ar ARG,DL,28-015,17.6,5,1,0,55,30,4,10,6,19,0.0,0.0,0,67.0,30.0,41.0,42.3,Partidos
547,Bryan Zaragoza,es ESP,"CC,DL",22-324,18.2,5,0,0,12,33,14,98,3,9,1.0,0.0,0,56.0,4.0,9.0,30.8,Partidos
548,Gonzalo Villar,es ESP,CC,25-357,15.8,6,0,0,34,48,1,15,6,26,1.0,0.0,0,114.0,25.0,15.0,62.5,Partidos
549,André Ferreira,pt POR,PO,27-290,14.9,1,0,0,2,2,0,0,0,0,0.0,2.0,0,18.0,7.0,1.0,87.5,Partidos
550,Óscar Melendo,es ESP,"CC,DL",26-204,10.8,2,0,0,12,32,1,9,5,5,0.0,1.0,0,47.0,6.0,13.0,31.6,Partidos
551,Raúl Torrente,es ESP,DF,22-185,11.5,3,0,0,14,7,1,2,9,15,0.0,1.0,1,50.0,17.0,12.0,58.6,Partidos
552,Augusto Batalla,ar ARG,PO,27-319,9.0,3,0,0,0,1,0,0,0,0,0.0,0.0,0,8.0,2.0,0.0,100.0,Partidos
553,Miguel Ángel Rubio,es ESP,DF,26-003,8.3,1,0,0,9,3,0,0,14,5,0.0,0.0,0,42.0,27.0,17.0,61.4,Partidos
554,José Callejón,es ESP,"CC,DL",37-032,7.1,0,0,0,9,17,2,26,1,4,0.0,0.0,0,41.0,7.0,8.0,46.7,Partidos
555,Bruno Méndez,uy URU,DF,24-186,6.2,2,0,0,5,0,0,0,9,4,0.0,0.0,0,26.0,10.0,8.0,55.6,Partidos
556,Antonio Puertas,es ESP,"CC,DL",32-022,7.0,2,1,0,19,8,5,18,5,7,0.0,0.0,0,24.0,12.0,19.0,38.7,Partidos
557,Álvaro Carreras,es ESP,"CC,DL",20-357,5.3,1,0,0,6,11,1,14,7,8,0.0,0.0,0,29.0,10.0,5.0,66.7,Partidos
558,Facundo Pellistri,uy URU,"CC,DL",22-085,4.7,0,0,0,2,6,1,10,3,6,1.0,0.0,0,17.0,4.0,4.0,50.0,Partidos
559,Martin Hongla,cm CMR,"CC,DF",25-364,3.7,0,0,0,4,1,0,2,5,1,0.0,0.0,0,26.0,1.0,7.0,12.5,Partidos
560,Raúl Fernández,es ESP,PO,36-001,3.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,8.0,0.0,0.0,,Partidos
561,Kamil Piątkowski,pl POL,DF,23-267,2.9,1,1,0,3,2,0,0,3,7,0.0,0.0,0,12.0,5.0,5.0,50.0,Partidos
562,Wilson Manafá,pt POR,"DF,CC",29-235,2.7,1,0,0,3,0,0,8,1,4,0.0,0.0,0,20.0,2.0,2.0,50.0,Partidos
563,Matias Arezo,uy URU,DL,21-114,2.3,1,0,0,4,1,6,2,0,1,0.0,0.0,0,6.0,6.0,9.0,40.0,Partidos
564,Víctor Díaz,es ESP,"DF,CC",35-276,1.8,1,0,0,0,0,0,0,1,3,0.0,0.0,0,6.0,3.0,1.0,75.0,Partidos
565,Faitout Maouassa,fr FRA,"DF,CC",25-252,1.8,0,0,0,2,3,0,19,1,5,0.0,0.0,0,6.0,2.0,0.0,100.0,Partidos
566,Jesús Vallejo,es ESP,DF,27-069,1.2,1,0,0,2,1,0,0,0,1,0.0,0.0,0,8.0,0.0,1.0,0.0,Partidos
567,Kamil Jóźwiak,pl POL,CC,25-327,1.1,0,0,0,1,1,0,1,0,0,0.0,0.0,0,4.0,4.0,5.0,44.4,Partidos
568,Samuel Omorodion,es ESP,DL,19-314,0.9,0,0,0,1,3,0,0,0,1,0.0,0.0,0,2.0,2.0,5.0,28.6,Partidos
569,Njegoš Petrović,rs SRB,"CC,DL",24-240,1.7,0,0,0,0,1,0,1,1,2,0.0,0.0,0,11.0,2.0,1.0,66.7,Partidos
570,Famara Diedhiou,sn SEN,"DL,CC",31-090,1.0,1,0,0,6,3,0,2,0,1,1.0,0.0,0,5.0,12.0,6.0,66.7,Partidos
571,Shon Weissman,il ISR,DL,28-029,0.9,0,0,0,1,1,0,1,0,1,0.0,0.0,0,2.0,1.0,5.0,16.7,Partidos
572,Theo Corbeanu,ca CAN,CC,21-302,0.5,0,0,0,0,0,0,8,1,1,0.0,0.0,0,5.0,0.0,0.0,,Partidos
573,Adri Bosch,es ESP,DF,22-279,0.3,0,0,0,0,0,0,0,0,1,0.0,0.0,1,2.0,0.0,1.0,0.0,Partidos
574,Alberto Soro,es ESP,CC,25-005,0.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Partidos
575,Alberto Perea,es ESP,"CC,DL",33-086,0.0,0,0,0,0,2,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,,Partidos
576,Total del equipo,,,27.4,27.0,68,3,0,354,378,55,487,176,254,4.0,4.0,2,1231.0,333.0,359.0,48.1,
577,Total del oponente,,,27.8,27.0,71,4,1,403,340,88,498,200,260,4.0,6.0,2,1391.0,358.0,333.0,51.8,
578,Luís Maximiano,pt POR,PO,25-069,25.0,1,0,0,1,1,0,0,0,0,0.0,1.0,0,31.0,3.0,0.0,100.0,Partidos
579,Édgar González,es ESP,"DF,CC",26-348,22.1,7,1,1,23,5,3,0,27,17,0.0,1.0,0,69.0,62.0,46.0,57.4,Partidos
580,Adri Embarba,es ESP,"DL,CC",31-312,19.1,3,0,0,28,27,13,123,10,24,0.0,0.0,0,103.0,18.0,30.0,37.5,Partidos
581,Lucas Robertone,ar ARG,CC,26-362,18.6,8,0,0,29,42,2,58,34,27,0.0,0.0,0,119.0,33.0,24.0,57.9,Partidos
582,Dion Lopy,sn SEN,CC,22-041,19.1,5,0,0,21,34,0,7,14,35,0.0,0.0,0,137.0,30.0,8.0,78.9,Partidos
583,Sergio Arribas,es ESP,"CC,DL",22-166,19.5,0,0,0,12,36,1,47,13,15,0.0,0.0,0,77.0,18.0,23.0,43.9,Partidos
584,Sergio Akieme,es ESP,DF,26-089,18.6,2,0,0,18,17,1,57,10,15,0.0,2.0,0,99.0,10.0,15.0,40.0,Partidos
585,Juan Brandáriz,es ESP,DF,25-012,18.5,3,0,0,17,5,0,2,11,17,0.0,1.0,0,63.0,31.0,28.0,52.5,Partidos
586,Iddrisu Baba,gh GHA,CC,28-052,15.3,5,0,0,29,33,0,4,11,25,0.0,1.0,0,119.0,29.0,17.0,63.0,Partidos
587,Largie Ramazani,be BEL,"DL,CC",23-016,14.7,8,1,1,27,20,7,24,25,7,1.0,0.0,0,66.0,3.0,21.0,12.5,Partidos
588,Léo Baptistão,br BRA,DL,31-201,13.6,5,1,0,15,24,10,16,6,8,0.0,0.0,0,54.0,35.0,56.0,38.5,Partidos
589,César Montes,mx MEX,DF,27-019,13.0,3,0,0,13,7,1,3,7,9,0.0,0.0,0,45.0,38.0,16.0,70.4,Partidos
590,Pubill,es ESP,DF,20-268,12.2,2,0,0,15,19,0,47,9,17,0.0,0.0,0,49.0,12.0,9.0,57.1,Partidos
591,Gonzalo Melero,es ESP,"CC,DL",30-072,10.3,3,0,0,19,16,1,3,4,7,0.0,0.0,0,33.0,12.0,18.0,40.0,Partidos
592,Alejandro Pozo Pozo,es ESP,"DF,CC",25-021,9.4,3,0,0,14,6,0,40,5,10,0.0,0.0,0,46.0,4.0,6.0,40.0,Partidos
593,Luis Javier Suárez,co COL,"DL,CC",26-103,8.0,2,0,0,15,14,4,5,0,4,0.0,0.0,0,17.0,8.0,24.0,25.0,Partidos
594,Álex Centelles,es ESP,DF,26-127,5.9,1,0,0,6,6,0,27,10,4,0.0,1.0,0,29.0,8.0,4.0,66.7,Partidos
595,Kaiky,br BRA,DF,20-062,5.8,2,0,0,7,0,0,1,3,4,0.0,1.0,0,14.0,11.0,11.0,50.0,Partidos
596,Aleksandar Radovanović,rs SRB,DF,30-124,4.8,2,0,0,6,1,0,0,8,5,0.0,0.0,0,11.0,10.0,8.0,55.6,Partidos
597,Anthony Lozano,hn HON,DL,30-324,4.1,1,0,0,11,6,2,3,1,1,0.0,0.0,0,11.0,13.0,25.0,34.2,Partidos
598,Houboulang Mendes,gw GNB,DF,25-315,4.4,0,0,0,6,10,1,4,1,13,0.0,0.0,0,23.0,7.0,5.0,58.3,Partidos
599,Jonathan Viera,es ESP,CC,34-145,3.2,0,0,0,2,2,2,3,0,0,0.0,0.0,0,11.0,2.0,0.0,100.0,Partidos
600,Bruno Langa,mz MOZ,DF,26-135,3.0,0,1,0,2,3,0,3,2,3,0.0,0.0,0,15.0,2.0,1.0,66.7,Partidos
601,Arnau Puigmal,es ESP,"DL,DF",23-064,2.8,3,0,0,7,4,0,14,3,1,0.0,1.0,0,16.0,1.0,3.0,25.0,Partidos
602,Luka Romero,ar ARG,DL,19-117,2.4,0,0,0,4,5,0,1,0,0,0.0,0.0,0,10.0,1.0,3.0,25.0,Partidos
603,Lázaro,br BRA,"DL,CC",22-002,3.2,0,0,0,3,7,2,12,1,1,0.0,0.0,0,13.0,4.0,11.0,26.7,Partidos
604,Ibrahima Koné,ml MLI,DL,24-272,2.9,0,0,0,3,4,6,2,0,0,0.0,0.0,0,7.0,9.0,10.0,47.4,Partidos
605,Fernando,es ESP,PO,33-278,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,,Partidos
606,Marko Milovanović,rs SRB,"DL,CC",20-223,2.6,0,0,0,11,2,2,0,0,3,0.0,0.0,0,8.0,10.0,21.0,32.3,Partidos
607,Srđan Babić,rs SRB,DF,27-327,1.0,0,0,0,2,0,0,0,0,2,0.0,0.0,0,4.0,3.0,1.0,75.0,Partidos
608,Diego Mariño,es ESP,PO,33-310,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Partidos
609,Marciano Sanca,gw GNB,"DL,CC",20-011,0.5,0,0,0,0,0,0,1,0,0,0.0,0.0,0,2.0,4.0,4.0,50.0,Partidos
610,Rachad Fettal,ma MAR,DL,19-058,0.2,0,0,0,1,0,0,0,0,0,,,0,,,,,Partidos
611,Total del equipo,,,26.1,28.0,69,4,2,367,356,58,507,215,274,1.0,9.0,0,1306.0,431.0,448.0,49.0,
612,Total del oponente,,,27.7,28.0,50,3,0,368,345,54,611,204,270,6.0,1.0,0,1374.0,447.0,430.0,51.0,
